Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,
Date extracted: 2019-08-20 03:31:35 +02:00,,,,,,,,,,
,,,,,,,,,,
Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
1988,United States of America,El Salvador,1024,,,,,,,1024
1989,United States of America,El Salvador,882,,,,,,,882
1990,United States of America,El Salvador,1035,,,,,,,1035
1991,United States of America,El Salvador,1136,,,,,,,1136
1992,United States of America,El Salvador,1203,,,,,,,1203
1993,United States of America,El Salvador,1114,,,,,,,1114
1994,United States of America,El Salvador,847,,,,,,,847
1995,United States of America,El Salvador,871,,,,,,,871
1996,United States of America,El Salvador,981,,,,,,,981
1997,United States of America,El Salvador,1172,,,,,,,1172
1998,United States of America,El Salvador,1591,,,,,,,1591
1999,United States of America,El Salvador,1838,,,,,,,1838
2000,United States of America,El Salvador,1918,176197,,,,,,178115
2001,United States of America,El Salvador,1883,164409,,,,,,166292
2002,United States of America,El Salvador,1716,150900,,,,,,152616
2003,United States of America,El Salvador,1111,128206,,,,,,129317
2004,United States of America,El Salvador,801,91388,,,,,,92189
2005,United States of America,El Salvador,919,44985,,,,,,45904
2006,United States of America,El Salvador,3098,28463,,,,,,31561
2007,United States of America,El Salvador,3432,18150,,,,,,21582
2008,United States of America,El Salvador,3288,10288,,,,,,13576
2009,United States of America,El Salvador,3227,8567,,,,,,11794
2010,United States of America,El Salvador,3170,319,,,,,,3489
2011,United States of America,El Salvador,4706,494,,,,,,5200
2012,United States of America,El Salvador,6037,639,,,,,,6676
2013,United States of America,El Salvador,7208,10289,,,,,,17497
2014,United States of America,El Salvador,8256,16424,,,,,,24680
2015,El Salvador,El Salvador,,,,,,,10100,10100
2015,United States of America,El Salvador,11273,28780,,,,,,40053
2016,El Salvador,El Salvador,,,,,,,9800,9800
2016,United States of America,El Salvador,14331,55594,,,,,,69925
2017,El Salvador,El Salvador,,,,71500,,,4200,75700
2017,United States of America,El Salvador,18763,91429,,,,,,110192
2018,El Salvador,El Salvador,,,,71500,,,4700,76200
2018,United States of America,El Salvador,22152,101000,,,,,,123152
